date,price,purchase,times_viewed
2017-11-01,41153.6,449,44972
2017-12-01,157159.8,1881,165047
2018-01-01,183680.7,1925,176494
2018-02-01,116349.8,1995,157529
2018-03-01,257432.1,2162,201318
2018-04-01,170239.5,1821,182944
2018-05-01,155753.9,2597,205171
2018-06-01,229103.0,2151,205126
2018-07-01,152417.1,2056,185210
2018-08-01,156606.9,1944,192312
2018-09-01,222503.8,2290,251529
2018-10-01,318292.4,3218,339826
2018-11-01,335182.1,3654,422345
2018-12-01,365052.8,1607,219779
2019-01-01,188117.0,1689,192832
2019-02-01,128480.7,1399,146456
2019-03-01,161575.5,1893,184184
2019-04-01,152568.4,1762,161154
2019-05-01,176969.8,2219,215981
2019-06-01,189927.4,1905,187100
2019-07-01,192256.6,2026,226097
